AuthorId_recipe,RecipeId_encoded,AggregatedRating,TotalTimeMinutes
434380,8344,5.0,45.0
13063,775,5.0,215.0
136997,12925,4.5,55.0
28750,791,4.5,60.0
31525,971,4.5,50.0
89831,6195,5.0,1456.0
64780,12400,5.0,35.0
24386,2012,5.0,65.0
675214,9785,5.0,10.0
135568,4243,5.0,140.0
1762,67,5.0,70.0
459426,10448,5.0,40.0
253974,10139,5.0,60.0
400708,11606,5.0,45.0
8688,1245,5.0,105.0
118840,10832,5.0,160.0
315565,12047,5.0,80.0
42309,3680,5.0,55.0
246898,6353,5.0,50.0
8688,2839,5.0,120.0
407338,11025,4.5,75.0
64667,8901,5.0,10.0
1762,67,5.0,70.0
1762,67,5.0,70.0
141293,5062,5.0,135.0
67103,8313,4.5,75.0
166642,8247,5.0,17.0
223112,6896,5.0,40.0
519838,9639,4.0,23.0
57787,2250,5.0,35.0
1762,67,5.0,70.0
34146,2913,5.0,220.0
1762,67,5.0,70.0
180567,5167,5.0,75.0
324621,7702,5.0,5.0
8688,1780,5.0,26.0
65056,5580,5.0,50.0
117143,4124,5.0,70.0
33186,13457,4.0,150.0
149363,4717,5.0,65.0
240552,9599,5.0,30.0
37305,2039,5.0,35.0
329769,12202,5.0,45.0
104224,5042,5.0,70.0
55392,11986,5.0,40.0
109855,7666,4.0,135.0
1762,67,5.0,70.0
5060,530,5.0,84.0
430205,8780,5.0,50.0
1170224,11803,4.0,55.0
161483,4743,5.0,60.0
1534,109,4.5,32.0
637765,13356,3.0,25.0
233627,7356,4.5,20.0
742931,10511,5.0,60.0
155817,4716,5.0,225.0
89831,3428,5.0,50.0
689540,10526,5.0,25.0
5060,664,4.5,25.0
217724,5884,5.0,60.0
181781,5770,4.5,80.0
112818,3789,4.0,90.0
290994,7511,5.0,55.0
50969,6183,4.5,20.0
37636,4592,5.0,540.0
131126,12107,5.0,40.0
15718,4011,5.0,45.0
351711,9514,5.0,27.0
80998,8661,4.0,45.0
844314,11322,4.5,50.0
37779,3506,5.0,80.0
103876,4751,5.0,25.0
1762,67,5.0,70.0
1308170,11824,5.0,135.0
